BusinessId,AvgFromJason,AvgFromReviews,AvgPredictedByCategories,ReviewCnt
Ec16pSB80VFjjO-8cueB0A,4.0,4.0,3.766723,4
KDfmJTIG-z6W6cl4YC-WDA,3.5,3.515151515151515,3.7358959792968505,34
qi2TAj80BbZPTfgPkjM49A,4.0,4.0,3.766723,4
Njz9vm06pBZhTinpJ7llDg,3.5,3.3333333333333335,3.766723,3
uJ2DfS-7EabzFDRaliACqQ,5.0,5.0,4.050430748205513,3
gFKvW1QhR7VQOYuOAfJZ3A,4.5,4.25,3.766723,4
JxVGJ9Nly2FFIs_WpJvkug,4.0,3.7777777777777777,3.769955055011918,55
gZ3GVh4aER2q6_UdA6fTKw,4.5,4.5,3.9685378232817943,14
CsA28RbQ_z_aZmRr8VL5kg,4.5,4.333333333333333,3.766723,3
cD505Hke2u5aZbPbcyn8lQ,5.0,5.0,3.766723,3
Rq-rzr3-e4xR_-QTmzY0Vg,3.5,2.6666666666666665,3.9685378232817943,5
CXi1eCpVyCEu-rQ7p1fTsA,2.0,1.8333333333333333,3.766723,12
VsO_rhXi5lgbaGxNwoEZsQ,3.0,3.0549450549450547,3.7228983519763212,91
XmDiFI8SuougNUi02ZCdwA,3.0,3.193548387096774,3.700164714846793,31
pjGUK8rHXq8P4ubUoNNc5A,5.0,5.0,3.766723,6
DtLIpieZkaObk-YKyPDsMw,3.0,2.75,3.6563817044087403,4
eGoXBEU339Xg-vz0MUq86A,4.5,4.6,3.766723,5
ojvwSyvmxsli8toz497T7w,2.5,2.3333333333333335,3.766723,3
H-zvHYZbRVHJ3sNqvqeReQ,4.5,4.333333333333333,3.766723,3
GKTS7PFoF_GpycUKXDsm_g,4.5,4.666666666666667,4.0497311827957,12
U9hKUngQjWw9ZE6Znwergg,3.5,3.1363636363636362,3.7938031465170083,24
QO5ojtq9u2so-S_tYmeHsA,4.0,4.2,3.772563176895307,5
hfKi84ErK10adnRAW5OiSw,3.0,3.2,3.769955055011918,15
Z_KjmNp3sMwodUBTSgFZGw,4.5,4.6875,4.029781417126612,16
ReH4J1pYaV_-24wl3UvoKQ,3.5,3.5,3.766723,4
jQLW-hniKMLmDTpeGgxjGw,4.0,3.75,3.766723,4
Y_fAk7ze4LKwEkwC-3QwIw,1.5,1.3333333333333333,3.724613686534216,3
HDvCnqIf5twbMb5-eG1EJw,4.0,3.8702702702702703,3.7646538390834836,187
JhupPnWfNlMJivnWB5druA,4.0,3.939189189189189,3.687923727568193,299
MtbyOeiuN6_Z0cAr9D8FoA,3.0,3.0,3.89420892676527,4
OSL98Keoc2FSNx4a3ge5Uw,4.0,3.772727272727273,3.769032082546195,90
f8luua75t2Is5iP6nxcXQQ,5.0,4.909090909090909,3.9648343093040856,11
OZVeSQKzdM0AkJ7cGDgCPA,3.5,3.6666666666666665,3.724613686534216,3
6H_-cKOUkWdoRMS2KrWkNw,3.0,3.1818181818181817,3.803654795935981,11
T5jyDe3MVb_4quR9qnoUcg,4.0,4.216216216216216,3.766723,37
VjzclBdSXmf6uNrD0DG2bg,3.0,3.2,3.803654795935981,5
CkflToTnXfCKa1LjnuzHwg,2.5,2.6,3.766723,6
f_re4xw6zXn2DAbcChF-AQ,4.0,3.8333333333333335,3.7358959792968505,6
Md6b40dplJRSaxsu0_usgg,5.0,5.0,4.0497311827957,4
CVBYF1AMlrZbScRXX8d6XQ,3.5,3.3846153846153846,3.816756108177649,13
449NKjoStRMoknyBqrVnCA,3.5,3.6666666666666665,3.848119716363266,3
jEWfxxA_kjeJE_Z_ku3zLA,2.5,2.7222222222222223,3.6967696796455125,145
TQhP4vCMjvX527YMxPfuUA,3.0,3.208955223880597,3.7976340818796777,67
uPl9d1zCX7wQYP1EpqrwQQ,4.0,4.142857142857143,3.947562068960187,7
_zpoklU8dTPDgoyQmyNSUQ,3.5,3.5,3.766723,6
QAWdgDgWaFJYzJ2pGDjmdw,4.0,3.9722222222222223,3.50875796178344,74
eR5-nFI0Vp7EG2pIXQM3bw,2.5,2.4,3.700164714846793,10
EWnSPExh_T5zTv6oMJOC5g,3.5,3.5517241379310347,3.7358959792968505,29
0zcHBms7sK9IYv4zn_qrqQ,4.5,4.666666666666667,3.7358959792968505,14
kfscAJnLVf6J2uEte7g-5A,4.0,4.1063829787234045,3.731654236038448,94
W-9YqWhkfeK-K3xGFvFeuw,2.5,2.4,3.7358959792968505,5
LtJszEtHhXMZR0y6lbdswA,3.0,2.8333333333333335,3.724613686534216,6
ZG4oIFBRlXyaF5F9L3dzxg,3.5,3.3617021276595747,3.867513456866402,48
xtGPxmqw37SZylUPcJ1MHQ,3.0,3.0,3.766723,3
xAlGk0v5jqXqEIz5LkBeYg,4.5,4.4,3.914371208013998,5
