BusinessId,Longitude,Latitute,Stars,ReviewCnt,City,State
YJHzVmS326nb6kbfLmZnGg,-111.926508,33.392384,2.5,4,Tempe,AZ
OvV84elHGF1AVVy9eTLZ7A,-111.7896718,33.3511353,4.0,3,Gilbert,AZ
2FiLqh18ypsamf2vZOj7eA,-112.000559,33.495265,4.0,6,Phoenix,AZ
eDkEUMZdedOOLdZhrIdF1A,-111.9796894,33.3201404,4.0,6,Phoenix,AZ
GCs6-N-8CalT4L2_nNas7A,-111.8963279,33.620562,4.5,15,Scottsdale,AZ
5wefpQ4OhJ4srP6j1vLTWw,-111.9257983,33.4683765,3.5,5,Scottsdale,AZ
ZCMEPB97LvC2jV7hIQRnDw,-112.0826274,33.4660253,5.0,8,Phoenix,AZ
09YNMPANM20sCJkVvMC1vg,-111.9375706,33.3928752,4.5,4,Tempe,AZ
xxSq7BBoCwUHnaxMMgF5mg,-112.0622257,33.6548544,4.5,4,Phoenix,AZ
wSmMBtaptto0dCPRXV_-NQ,-112.1960532,33.6387083,4.5,3,Glendale,AZ
XgkfD6XEQHgceHRolcKz1Q,-111.909686,33.407716,4.0,6,Tempe,AZ
X5yCsLd8Ht8Mgw8poasC7Q,-111.907832,33.335548,3.5,3,Tempe,AZ
0GHzsPl-NjCdGjr678_Kvg,-111.7896544,33.4371761,4.5,3,Mesa,AZ
HV8JcFwOi3QFij9j5EjcdA,-111.978793,33.583968,1.0,3,Phoenix,AZ
P9RWmMbqgylHix4IaWYHug,-111.62019,33.25539,5.0,3,Queen Creek,AZ
PEFUYmqfqy93_xyCnSfGNg,-112.0301297,33.6789932,5.0,8,Phoenix,AZ
wDZiLz0A7CIXoBqSjFRMeQ,-111.8772769,33.3487772,3.0,4,Chandler,AZ
PqwLZoOF_qJf6NoN9OyFbg,-111.921935,33.500983,5.0,5,Scottsdale,AZ
848HJW-KVeEyOg9HuSV94A,-111.954623,33.615544,4.0,3,Scottsdale,AZ
4Bx-LHzaPjDPP4KOfQNGGA,-111.8747397,33.306058,3.0,3,Chandler,AZ
T2dwEcI56dl4siKpOq7QsA,-112.136883,33.866265,5.0,3,Anthem,AZ
-Fv9yPpyBd2Ophih6b2mTw,-112.047179,33.503024,4.0,7,Phoenix,AZ
yCp2iirB6Mb3sj1vnObWJw,-112.046105,33.377234,2.5,3,Phoenix,AZ
MHtwKO1Udv4oF7sUM4pbfg,-111.8434863,33.3789567,3.5,6,Mesa,AZ
oeR69T9Ow5bvTq9xbiutWg,-111.8868936,33.6528755,5.0,7,Scottsdale,AZ
FYXut4Km0FzvFY3G0sYwgg,-111.927268,33.581154,4.0,5,Scottsdale,AZ
75nCduGIgSiuH-kwcgHb_A,-112.013801,33.609866,2.5,3,Phoenix,AZ
k_ncWqy33ziPS59XNDXL3g,-111.6885195,33.326957,2.5,3,Gilbert,AZ
uzQ3iC4snU6wXb2PF6kS7Q,-112.0650257,33.5022049,4.5,21,Phoenix,AZ
FAUSqRN1H7dGmu6EuPdOdg,-111.908478,33.320525,4.5,3,Chandler,AZ
Md6b40dplJRSaxsu0_usgg,-111.929344,33.4961,5.0,4,Scottsdale,AZ
mVha7w96h_eSun6EAomuhw,-111.8648452,33.6400689,3.5,5,Scottsdale,AZ
XSAYX_niICHPbYl4ZPn4wg,-111.9788671,33.5839581,3.0,7,Phoenix,AZ
