RecommendationId,Stars
1,3.6417623
2,3.7493398
3,3.9031763
4,3.88961
5,3.41763
6,3.766723
7,3.35642
8,4.0971665
9,3.28401
10,3.57
11,3.7988403
12,3.675618
13,3.87
14,3.71999
15,3.7
16,4.05549
17,4.260581
18,4.06
19,3.92
20,3.6417623
21,3.766723
22,3.7246137
23,3.75
24,3.04
25,3.01
26,4.22604
27,3.675618
28,3.66
29,3.42
30,3.766723
31,4.88
32,3.9126632
33,3.79
34,3.9109206
35,4.22112
36,5.0
37,2.43
38,3.9067602
39,3.74
40,4.1199512
41,3.2600338
42,3.39813
43,3.766723
44,4.022859
45,4.67086
46,3.25
47,4.1199512
48,4.0
49,3.75024
50,3.9114537
51,4.27726
52,3.85
53,4.58891
54,4.1
55,4.0
56,2.2
57,3.49
58,4.187975
59,3.37181
60,3.8464036
61,3.4
62,3.766723
63,3.69231
64,3.8991156
65,3.77698
66,3.8941
67,2.44173
68,3.80619
69,4.118113
70,3.8920135
71,4.72
72,3.83748
73,3.96573
74,4.06402
75,4.32239
76,4.232004
77,3.9436781
78,3.713496
79,4.196751
80,4.01272
81,4.19725
82,3.615824
83,4.66839
84,3.58891
85,3.6090946
86,4.18323
87,3.81475
88,3.331138
89,3.7154047
90,3.29
91,3.44
92,4.31477
93,2.54166
94,3.41
95,3.34875
96,3.766723
97,3.84
98,3.92224
99,3.97227
100,4.2
101,4.69592
102,3.52571
103,3.2607083
104,3.49792
105,3.9121134
106,3.80236
107,3.6134892
108,3.73
109,4.82377
110,3.766723
111,3.31163
112,3.766723
113,2.87
114,3.6428347
115,3.83674
116,4.0
117,4.24914
118,3.63201
119,3.96602
120,3.99
121,2.78546
122,3.9061356
123,4.03895
124,4.1942053
125,4.56
126,3.95
127,4.5
128,4.1199512
129,4.060034
130,3.67
131,3.8695
132,3.7484534
133,4.25
134,4.13
135,3.6319766
136,3.9029956
137,3.67747
138,3.69
139,3.58
140,3.85
141,3.54
142,3.803655
143,3.55
144,4.39
145,3.766723
146,3.7320266
147,3.63645
148,3.8968437
149,3.61
150,3.6090946
151,3.90688
152,3.72589
153,4.1587353
154,3.3138573
155,3.45
156,3.67
157,3.58
158,3.55577
159,3.43
160,3.6083322
161,3.95
162,3.51
163,4.39646
164,4.76561
165,3.89639
166,3.0926
167,3.6048448
168,3.87115
169,3.8966732
170,3.6129
171,4.08664
172,4.1
173,4.384418
174,3.98822
175,3.5607
176,4.1199512
177,3.98349
178,3.79861
179,4.0
180,3.9114537
181,4.63307
182,3.92779
183,4.042291
184,4.0
185,3.903221
186,3.14
187,4.1894116
188,3.7493398
189,3.9036133
190,3.4297628
191,3.611447
192,3.78
193,3.8600338
194,3.5
195,3.907343
196,2.57
197,4.11
198,3.4
199,3.01227
200,3.7358959
201,3.7
202,3.9010818
203,3.59
204,3.86057
205,3.30788
206,2.97962
207,3.7358959
208,3.6417623
209,3.54096
210,3.7765036
211,3.03822
212,2.99505
213,3.26
214,3.97
215,4.04
216,4.33
217,4.0962033
218,4.051831
219,4.05951
220,3.62
221,3.5048323
222,3.95
223,3.67
224,3.69
225,4.17595
226,3.0
227,2.92224
228,3.9061356
229,3.79
230,3.59513
231,3.83
232,3.3640792
233,4.1752048
234,3.6115572
235,4.0
236,3.76698
237,4.2843
238,3.72637
239,3.894209
240,3.3464584
241,3.96
242,3.615987
243,3.65
244,4.17304
245,3.6
246,3.02818
247,3.3403752
248,3.8463213
249,4.43108
250,3.0592387
251,4.2
252,3.766723
253,4.18626
254,3.51
255,3.66025
256,3.7
257,3.18763
258,3.7976341
259,4.45918
260,4.37551
261,3.766723
262,3.9114537
263,4.20567
264,3.20277
265,3.5962126
266,4.36246
267,3.910069
268,4.1
269,3.6161523
270,3.6189551
271,3.33184
272,3.71
273,2.67
274,3.73
275,4.11925
276,3.69
277,2.9693
278,3.79285
279,3.6299067
280,4.29
281,4.04113
282,3.8957758
283,3.87
284,4.7
285,3.58927
286,3.931511
287,3.8828
288,3.82569
289,4.235165
290,3.8992505
291,3.6250665
292,4.11
293,4.6864
294,4.0
295,3.764654
296,3.8335369
297,3.1556673
298,3.63
299,3.46
300,3.73
301,4.24819
302,3.6115572
303,4.83673
304,4.14
305,4.10635
306,4.16
307,3.65594
308,4.75677
309,3.766723
310,4.03897
311,4.73
312,3.85
313,3.766723
314,3.9028113
315,4.08
316,4.1587353
317,4.58891
318,4.27212
319,3.3762994
320,3.14
321,3.910069
322,4.15
323,4.6
324,3.2435
325,4.21668
326,3.421207
327,3.766723
328,3.58891
329,3.78
330,3.5
331,3.47
