RecommendationId,Stars
1,3.4157505
2,3.6359088
3,3.8710089
4,3.7754104
5,3.3282747
6,3.6359088
7,2.6869779
8,4.297506
9,3.4791188
10,3.6348984
11,3.6359088
12,3.6757112
13,3.4243042
14,3.317412
15,3.920657
16,4.006211
17,3.6359088
18,3.7434034
19,3.8306081
20,3.4157505
21,3.6359088
22,3.6359088
23,3.539625
24,3.046856
25,3.3180647
26,3.3319535
27,3.6553593
28,3.500371
29,3.4398131
30,3.6359088
31,3.7985988
32,3.7080472
33,3.6824481
34,4.161758
35,4.20523
36,3.8179603
37,2.4795446
38,3.9878259
39,3.630393
40,4.2407613
41,3.1450331
42,3.1111112
43,3.6359088
44,3.6359088
45,5.0
46,3.5209477
47,4.302035
48,3.8331568
49,4.8
50,3.8903933
51,4.5555553
52,3.539443
53,3.8069882
54,3.7878659
55,3.8561783
56,3.828299
57,3.634597
58,4.352614
59,3.5137136
60,3.9183097
61,3.1292155
62,3.6359088
63,3.5831141
64,4.0191793
65,3.9105964
66,3.7938707
67,2.4953632
68,2.857143
69,4.013635
70,3.5541248
71,4.306757
72,4.3636365
73,4.1
74,4.428571
75,2.75
76,4.2450366
77,4.043835
78,3.6359088
79,4.2956953
80,3.516293
81,3.9562783
82,3.4684043
83,4.0523157
84,3.5125487
85,3.5743463
86,4.812175
87,4.2876945
88,3.3160405
89,3.6359088
90,3.1332822
91,3.1873844
92,2.7225025
93,2.5
94,3.3775735
95,3.806913
96,3.6359088
97,3.5396721
98,3.825799
99,3.8151648
100,3.9867604
101,4.962021
102,3.1718783
103,3.3097034
104,3.488854
105,3.9311237
106,3.0659094
107,3.4382026
108,3.429599
109,3.8746512
110,3.6359088
111,3.9166667
112,3.6359088
113,3.1271617
114,3.4758136
115,3.6666667
116,3.9019485
117,3.9487689
118,4.1483946
119,4.470353
120,3.8197877
121,2.32849
122,4.1402225
123,4.1014223
124,4.191369
125,4.248395
126,3.841148
127,4.307301
128,4.2808332
129,4.4977527
130,3.6339536
131,3.837838
132,3.6359088
133,3.5197678
134,3.998814
135,3.6218233
136,4.068871
137,3.516049
138,3.662459
139,3.589567
140,3.706916
141,3.5140197
142,3.6359088
143,3.5222394
144,4.1089897
145,3.6359088
146,3.6359088
147,2.6845016
148,4.1571083
149,3.6478224
150,3.5743463
151,3.8168077
152,3.0
153,4.33679
154,3.1831262
155,3.5083191
156,3.6380575
157,3.3584473
158,3.8947368
159,3.176302
160,3.3565638
161,3.8171024
162,3.5498366
163,4.9126487
164,4.4591837
165,4.489474
166,3.466625
167,3.372901
168,3.2609437
169,3.754824
170,3.6153846
171,4.1135163
172,4.013887
173,4.3310995
174,3.8131564
175,5.0
176,4.0828443
177,4.4
178,3.768908
179,3.491354
180,3.8903933
181,4.8798075
182,3.5511746
183,3.9760034
184,3.8338535
185,3.6359088
186,3.1022625
187,4.108834
188,3.6359088
189,3.6726675
190,3.1918364
191,3.6424582
192,3.434488
193,3.7154434
194,3.3890388
195,3.8582819
196,3.2029145
197,3.7764196
198,3.4242811
199,4.040742
200,3.6359088
201,3.60807
202,4.0206437
203,3.5070922
204,4.0771933
205,4.2823343
206,3.5214052
207,3.6359088
208,3.4398355
209,4.6743917
210,3.6359088
211,3.4615386
212,1.9000001
213,3.2328336
214,3.7387493
215,4.033822
216,3.9286425
217,3.6359088
218,4.1425414
219,3.6359088
220,3.625428
221,3.4332793
222,3.8659482
223,3.1441407
224,3.6666307
225,3.7860942
226,3.0623143
227,2.8369796
228,4.1402225
229,3.719921
230,4.111111
231,3.8471112
232,3.055271
233,4.16753
234,3.6374512
235,3.782252
236,3.9361284
237,4.6181464
238,3.5625
239,3.6359088
240,2.9818406
241,3.8310907
242,3.3505256
243,3.5751326
244,2.7442923
245,3.3765619
246,2.5770078
247,3.0052547
248,3.6359088
249,5.0
250,2.7183778
251,4.1914163
252,3.6359088
253,3.9326885
254,3.528788
255,4.2987065
256,3.5337584
257,4.6249127
258,3.6359088
259,4.280604
260,4.3333335
261,3.6359088
262,3.8903933
263,4.5473623
264,3.559437
265,3.6359088
266,4.402355
267,3.975979
268,3.8973577
269,3.377226
270,3.6710393
271,3.895
272,3.667347
273,3.2170458
274,3.557208
275,4.345997
276,3.6312592
277,4.15
278,4.2484846
279,3.7134714
280,4.1094856
281,3.8922071
282,3.8937156
283,3.7918758
284,4.1996846
285,3.92206
286,3.6359088
287,4.652174
288,4.5198197
289,4.182977
290,3.994759
291,3.5318487
292,3.9176817
293,4.4121175
294,3.8123465
295,3.6359088
296,3.9291863
297,3.0243378
298,3.6024446
299,3.6216402
300,3.6344304
301,4.142857
302,3.3699021
303,4.472457
304,3.9382365
305,4.1730967
306,4.09421
307,3.4166632
308,5.0
309,3.6359088
310,4.2757215
311,4.308867
312,3.8072288
313,3.6359088
314,3.9317374
315,3.90845
316,4.3130856
317,3.8100338
318,4.2182612
319,2.8347552
320,3.2190566
321,3.975979
322,3.9002934
323,4.061381
324,4.178364
325,4.285714
326,3.2091975
327,3.6359088
328,3.5125487
329,3.7545092
330,3.3902786
331,3.5316179
332,3.4208624
333,3.8453896
334,3.6359088
335,3.4
336,3.1899192
337,3.439859
